participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.rolenum,player.roledesc,player.quiz_q1,player.quiz_q2,player.payoff_interim,player.buyer_bool,player.seller_bool,player.ask_total,player.ask_stdev,player.numsold,player.bid_total,player.contract_seller_rolenum,player.mistake_bool,player.mistake_size,player.other_seller_ask_total,player.other_seller_ask_stdev,player.gamewait_numcorrect,player.payoff,group.id_in_subsession,group.mkt_bid_avg,group.mkt_ask_min,group.mkt_ask_max,group.mkt_ask_spread,group.mkt_ask_stdev_min,subsession.round_number,subsession.practiceround,subsession.realround,subsession.block,subsession.treatment,subsession.dims,subsession.block_new,subsession.treatment_first_singular,subsession.treatment_first_multiple,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,3,1,Buyer,,,179,1,0,,,0,621,2,1,46,575,0.0014285714285714286,0,179,1,598.0,575,621,46,0.0014285714285714286,1,1,0,1,3,16,1,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,2,2,Seller,,,521,0,1,621,0.0014285714285714286,1,,,,0,,,0,521,1,598.0,575,621,46,0.0014285714285714286,1,1,0,1,3,16,1,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,1,1,Seller,,,475,0,1,575,0.0014285714285714286,1,,,,0,,,0,475,1,598.0,575,621,46,0.0014285714285714286,1,1,0,1,3,16,1,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,4,2,Buyer,,,225,1,0,,,0,575,1,0,0,621,0.0014285714285714286,0,225,1,598.0,575,621,46,0.0014285714285714286,1,1,0,1,3,16,1,0,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,2,2,Seller,,,1497,0,1,759,0.0014285714285714286,2,,,,0,,,0,1318,1,759.0,661,759,98,0.0014285714285714286,2,1,0,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,3,1,Buyer,,,562,1,0,,,0,759,2,1,98,661,0.0014285714285714286,0,41,1,759.0,661,759,98,0.0014285714285714286,2,1,0,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,4,2,Buyer,,,516,1,0,,,0,759,2,1,98,661,0.0014285714285714286,0,41,1,759.0,661,759,98,0.0014285714285714286,2,1,0,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,1,1,Seller,,,225,0,1,661,0.0014285714285714286,0,,,,0,,,0,0,1,759.0,661,759,98,0.0014285714285714286,2,1,0,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,1,1,Seller,,,2112,0,1,715,0.0014285714285714286,1,,,,0,,,0,615,1,509.5,304,715,411,0.0014285714285714286,3,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,2,2,Seller,,,766,0,1,304,0.0014285714285714286,1,,,,0,,,0,204,1,509.5,304,715,411,0.0014285714285714286,3,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,4,2,Buyer,,,601,1,0,,,0,715,1,1,411,304,0.0014285714285714286,0,85,1,509.5,304,715,411,0.0014285714285714286,3,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,3,1,Buyer,,,721,1,0,,,0,304,2,0,0,715,0.0014285714285714286,0,496,1,509.5,304,715,411,0.0014285714285714286,3,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,2,2,Seller,,,2238,0,1,226,0.0014285714285714286,1,,,,0,,,0,126,1,254.5,226,283,57,0.0014285714285714286,4,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,1,1,Seller,,,949,0,1,283,0.0014285714285714286,1,,,,0,,,0,183,1,254.5,226,283,57,0.0014285714285714286,4,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,3,1,Buyer,,,1118,1,0,,,0,283,1,1,57,226,0.0014285714285714286,0,517,1,254.5,226,283,57,0.0014285714285714286,4,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,4,2,Buyer,,,1295,1,0,,,0,226,2,0,0,283,0.0014285714285714286,0,574,1,254.5,226,283,57,0.0014285714285714286,4,0,1,1,3,16,0,0,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,2,2,Seller,,,2238,0,1,721,0.0014285714285714286,0,,,,0,,,0,0,1,197.0,197,721,524,0.0014285714285714286,5,0,1,2,1,1,1,1,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,3,1,Buyer,,,1552,1,0,,,0,197,1,0,0,721,0.0014285714285714286,0,603,1,197.0,197,721,524,0.0014285714285714286,5,0,1,2,1,1,1,1,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,1,1,Seller,,,1312,0,1,197,0.0014285714285714286,2,,,,0,,,0,194,1,197.0,197,721,524,0.0014285714285714286,5,0,1,2,1,1,1,1,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,4,2,Buyer,,,1898,1,0,,,0,197,1,0,0,721,0.0014285714285714286,0,603,1,197.0,197,721,524,0.0014285714285714286,5,0,1,2,1,1,1,1,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,4,2,Buyer,,,2767,1,0,,,0,271,2,1,162,109,0.0014285714285714286,0,529,1,271.0,109,271,162,0.0014285714285714286,6,0,1,2,1,1,0,1,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,1,1,Seller,,,1552,0,1,109,0.0014285714285714286,0,,,,0,,,0,0,1,271.0,109,271,162,0.0014285714285714286,6,0,1,2,1,1,0,1,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,2,2,Seller,,,1654,0,1,271,0.0014285714285714286,2,,,,0,,,0,342,1,271.0,109,271,162,0.0014285714285714286,6,0,1,2,1,1,0,1,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,3,1,Buyer,,,2427,1,0,,,0,271,2,1,162,109,0.0014285714285714286,0,529,1,271.0,109,271,162,0.0014285714285714286,6,0,1,2,1,1,0,1,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,4,2,Buyer,,,3084,1,0,,,0,483,1,1,254,229,0.0014285714285714286,0,317,1,356.0,229,483,254,0.0014285714285714286,7,0,1,3,2,8,1,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,2,2,Seller,,,1681,0,1,229,0.0014285714285714286,1,,,,0,,,0,129,1,356.0,229,483,254,0.0014285714285714286,7,0,1,3,2,8,1,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,1,1,Seller,,,2037,0,1,483,0.0014285714285714286,1,,,,0,,,0,383,1,356.0,229,483,254,0.0014285714285714286,7,0,1,3,2,8,1,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,3,1,Buyer,,,2998,1,0,,,0,229,2,0,0,483,0.0014285714285714286,0,571,1,356.0,229,483,254,0.0014285714285714286,7,0,1,3,2,8,1,0,0,uqejkwgv,,,,,,,,0
1,g6qr8y7s,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.429377+00:00,0,1,,,3,1,Buyer,,,3166,1,0,,,0,718,1,1,510,208,0.0014285714285714286,0,82,1,463.0,208,718,510,0.0014285714285714286,8,0,1,3,2,8,0,0,0,uqejkwgv,,,,,,,,0
2,jpb6yaf5,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:17.746504+00:00,0,1,,,4,2,Buyer,,,2273,1,0,,,0,208,2,0,0,718,0.0014285714285714286,0,592,1,463.0,208,718,510,0.0014285714285714286,8,0,1,3,2,8,0,0,0,uqejkwgv,,,,,,,,0
3,if65x9wl,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.024615+00:00,0,1,,,2,2,Seller,,,2145,0,1,208,0.0014285714285714286,1,,,,0,,,0,108,1,463.0,208,718,510,0.0014285714285714286,8,0,1,3,2,8,0,0,0,uqejkwgv,,,,,,,,0
4,yir5a6ur,,1,215,214,survey,1,FutureStudies,127.0.0.1,2017-02-13 20:31:18.444783+00:00,0,1,,,1,1,Seller,,,3616,0,1,718,0.0014285714285714286,1,,,,0,,,0,618,1,463.0,208,718,510,0.0014285714285714286,8,0,1,3,2,8,0,0,0,uqejkwgv,,,,,,,,0
